fid,tariff,lon,lat,cl,plot_name,plot_class,USE,GUD_CAT,CONF,EVIDENCE
10222,CRT Seasonal,56.497205,23.217314,135,Primary Account Tariff,Residential,Commercial,non_domestic,Certain,"Omantel office, Oxygen Pharmacy, Hayy Almazra (OSM)"
10296,CRT Seasonal,56.494515,23.216746,139,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Al Hashar Automotive, Al-huad Pharmacy, Muscat Bank, Oman Oil (OSM)"
10501,CRT Seasonal,56.499849,23.258018,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,Silmi: no POI within 80 m
10715,CRT Seasonal,56.556799,23.250585,30,CRT Seasonal,Commercial,Unresolved,CRT_review,Guessing,Isolated buildings on Commercial plots east of Araqi (Google sat)
10718,CRT Seasonal,56.556799,23.250585,30,CRT Seasonal,Commercial,Unresolved,CRT_review,Guessing,Isolated buildings on Commercial plots east of Araqi (Google sat)
10722,CRT Seasonal,56.556799,23.250585,30,CRT Seasonal,Commercial,Unresolved,CRT_review,Guessing,Isolated buildings on Commercial plots east of Araqi (Google sat)
10724,CRT Seasonal,56.556799,23.250585,30,CRT Seasonal,Commercial,Unresolved,CRT_review,Guessing,Isolated buildings on Commercial plots east of Araqi (Google sat)
10725,CRT Seasonal,56.556799,23.250585,30,CRT Seasonal,Commercial,Unresolved,CRT_review,Guessing,Isolated buildings on Commercial plots east of Araqi (Google sat)
10780,CRT Seasonal,56.50032,23.218979,-1,Commercial,Residential,Commercial,non_domestic,Likely,المه‍ا [amenity=fuel] 18m
10848,CRT Seasonal,56.498186,23.2174,135,Additional Account Tariff,Residential,Commercial,non_domestic,Certain,"Omantel office, Oxygen Pharmacy, Hayy Almazra (OSM)"
10987,CRT Seasonal,56.612464,23.321579,1,Commercial,Residential-Commercial,Health,government,Likely,"Horizons Medical, veterinary, Ad Dariz (OSM)"
10990,CRT Seasonal,56.612464,23.321579,1,Commercial,Residential-Commercial,Health,government,Likely,"Horizons Medical, veterinary, Ad Dariz (OSM)"
11127,CRT Seasonal,56.609308,23.319044,-1,Commercial,Residential,Commercial,non_domestic,Likely,نفط عمان [amenity=fuel] 35m
11475,CRT Seasonal,56.488368,23.197366,-1,Commercial,Residential,Religious,government,Likely,? [amenity=place_of_worship] 13m
11658,CRT Seasonal,56.499016,23.255389,-1,Primary Account Tariff (with National Subsidy),Residential,Unresolved,CRT_review,Guessing,Rayibah: no POI within 80 m
11676,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11677,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11678,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11679,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11680,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11681,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11682,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11683,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11684,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11685,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11686,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11687,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11688,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11689,CRT Time of Use,56.482067,23.21559,127,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11721,CRT Time of Use,56.485712,23.214292,132,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11722,CRT Time of Use,56.485712,23.214292,132,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11723,CRT Time of Use,56.485712,23.214292,132,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11724,CRT Time of Use,56.485712,23.214292,132,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11725,CRT Time of Use,56.485712,23.214292,132,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11726,CRT Time of Use,56.485712,23.214292,132,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11727,CRT Time of Use,56.485712,23.214292,132,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11728,CRT Time of Use,56.485712,23.214292,132,CRT Time of Use,Residential,Government,government,Likely,"Ibri Police Station, Al Akhdar (Nominatim nearest)"
11828,CRT Time of Use,56.472184,23.216657,-1,Commercial,Residential-Commercial,Commercial,non_domestic,Likely,Dhofar Insurance Company Ibri Branch [office=insurance] 34m
11992,CRT Seasonal,56.469835,23.216765,120,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Fawar and Tayyibat Al Sham restaurants, Bake it Bakery, Al Akhdar (OSM)"
11993,CRT Seasonal,56.469835,23.216765,120,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Fawar and Tayyibat Al Sham restaurants, Bake it Bakery, Al Akhdar (OSM)"
11994,CRT Seasonal,56.469835,23.216765,120,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Fawar and Tayyibat Al Sham restaurants, Bake it Bakery, Al Akhdar (OSM)"
11998,CRT Seasonal,56.469835,23.216765,120,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Fawar and Tayyibat Al Sham restaurants, Bake it Bakery, Al Akhdar (OSM)"
11999,CRT Seasonal,56.469835,23.216765,120,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Fawar and Tayyibat Al Sham restaurants, Bake it Bakery, Al Akhdar (OSM)"
12038,CRT Seasonal,56.486851,23.217098,-1,Commercial,Residential,Commercial,non_domestic,Likely,مقهى الرونق الذهبي [amenity=fast_food] 12m
12734,CRT Seasonal,56.484712,23.218928,136,CRT Seasonal,Residential,Education,government,Likely,Indian School Ibri (OSM 40 m)
12966,CRT Seasonal,56.472914,23.162785,-1,CRT Seasonal,Agricultural,Education,government,Likely,? [amenity=school] 50m
13030,CRT Time of Use,56.468894,23.161742,-1,Commercial,Industrial,Industrial,industrial,Likely,"Industrial plot, Al Mukhtobiyah"
13476,CRT Seasonal,56.4687,23.224243,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,Al Akhdar: no POI within 80 m
13477,CRT Seasonal,56.468669,23.224283,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,Al Akhdar: no POI within 80 m
13512,CRT Fixed Rate,56.511372,23.24143,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Silmi (no POI within 80 m)"
13715,CRT Seasonal,56.467135,23.15895,35,CRT Seasonal,Industrial,Industrial,industrial,Certain,"Al Mukhtobiyah industrial estate, warehouses, Industrial plots (Google sat)"
13757,CRT Seasonal,56.468181,23.16501,-1,CRT Seasonal,Industrial,Industrial,industrial,Likely,"Industrial plot, Al Mukhtobiyah"
13795,CRT Seasonal,56.4654,23.158477,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,Al Mukhtobiyah: no POI within 80 m
13804,CRT Seasonal,56.46918,23.162329,-1,CRT Seasonal,Industrial,Industrial,industrial,Likely,"Industrial plot, Al Mukhtobiyah"
13966,CRT Seasonal,56.492231,23.22095,149,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"A SSFA, between Al Hashar Automotive and Ramez hypermarket strip (OSM)"
13969,CRT Seasonal,56.492231,23.22095,149,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"A SSFA, between Al Hashar Automotive and Ramez hypermarket strip (OSM)"
13970,CRT Seasonal,56.492231,23.22095,149,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"A SSFA, between Al Hashar Automotive and Ramez hypermarket strip (OSM)"
14007,CRT Seasonal,56.492231,23.22095,149,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"A SSFA, between Al Hashar Automotive and Ramez hypermarket strip (OSM)"
14011,CRT Seasonal,56.492231,23.22095,149,CRT Seasonal,Residential,Commercial,non_domestic,Guessing,"A SSFA, between Al Hashar Automotive and Ramez hypermarket strip (OSM)"
14072,CRT Seasonal,56.738873,23.26494,-1,CRT Seasonal,Residential,Religious,government,Likely,? [amenity=place_of_worship;building=yes] 15m
14181,CRT Seasonal,56.498586,23.234862,153,Commercial,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking only (OSM)"
14272,CRT Seasonal,56.471102,23.169561,33,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Mazra bin Khater, Ibri - Rub al Khali road"
14275,CRT Seasonal,56.471102,23.169561,33,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Mazra bin Khater, Ibri - Rub al Khali road"
14276,CRT Seasonal,56.471102,23.169561,33,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Mazra bin Khater, Ibri - Rub al Khali road"
14279,CRT Seasonal,56.471102,23.169561,33,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Mazra bin Khater, Ibri - Rub al Khali road"
14283,CRT Seasonal,56.471102,23.169561,33,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Mazra bin Khater, Ibri - Rub al Khali road"
14722,CRT Time of Use,56.464283,23.160194,35,CRT Time of Use,Industrial,Industrial,industrial,Certain,"Al Mukhtobiyah industrial estate, warehouses, Industrial plots (Google sat)"
14842,CRT Seasonal,56.413027,23.249698,-1,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,? [amenity=restaurant] 16m
14843,CRT Seasonal,56.413027,23.249698,-1,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Likely,? [amenity=restaurant] 16m
15033,CRT Time of Use,56.488405,23.207842,-1,Commercial,Residential,Commercial,non_domestic,Likely,Alshaabiyah shopping center مركز الشعبية للتسوق [building=commercial] 25m
15036,CRT Seasonal,56.488405,23.207842,-1,Commercial,Residential,Commercial,non_domestic,Likely,Alshaabiyah shopping center مركز الشعبية للتسوق [building=commercial] 25m
15248,CRT Seasonal,56.597726,23.221075,-1,CRT Seasonal,Residential,Religious,government,Likely,? [amenity=place_of_worship] 16m
15787,CRT Seasonal,56.49778,23.234803,153,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking only (OSM)"
16022,CRT Seasonal,56.495964,23.233307,153,Primary Account Tariff,Residential-Commercial,Unresolved,CRT_review,Guessing,"Al Orobah, parking only (OSM)"
16334,CRT Seasonal,56.464519,23.160463,35,CRT Time of Use,Industrial,Industrial,industrial,Certain,"Al Mukhtobiyah industrial estate, warehouses, Industrial plots (Google sat)"
16335,CRT Seasonal,56.464519,23.160463,35,CRT Time of Use,Industrial,Industrial,industrial,Certain,"Al Mukhtobiyah industrial estate, warehouses, Industrial plots (Google sat)"
16354,CRT Seasonal,56.446261,23.223774,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,Al Jahli: no POI within 80 m
16525,CRT Seasonal,56.493465,23.235349,156,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking + mosque nearby only (OSM)"
16526,CRT Seasonal,56.493465,23.235349,156,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking + mosque nearby only (OSM)"
16527,CRT Seasonal,56.493465,23.235349,156,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking + mosque nearby only (OSM)"
16528,CRT Seasonal,56.493465,23.235349,156,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking + mosque nearby only (OSM)"
16529,CRT Seasonal,56.493465,23.235349,156,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking + mosque nearby only (OSM)"
16530,CRT Seasonal,56.493465,23.235349,156,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking + mosque nearby only (OSM)"
16531,CRT Seasonal,56.493465,23.235349,156,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking + mosque nearby only (OSM)"
17152,CRT Seasonal,56.724228,23.274439,-1,CRT Seasonal,Agricultural,Education,government,Guessing," (school, Nominatim)"
17392,CRT Seasonal,56.49409,23.235565,156,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking + mosque nearby only (OSM)"
17394,CRT Time of Use,56.494114,23.237998,157,CRT Time of Use,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking only (OSM)"
17395,CRT Seasonal,56.494114,23.237998,157,CRT Time of Use,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking only (OSM)"
17506,CRT Seasonal,56.479823,23.207942,-1,CRT Seasonal,Agricultural,Education,government,Guessing,"مدرسة خضراء عبري للتعليم الأساسي (school, Nominatim)"
17653,CRT Seasonal,56.495873,23.227175,145,CRT Seasonal,Agricultural,Telecom/Utility,non_domestic,Likely,"PBX connections building, Ibri Old village (OSM)"
17674,CRT Seasonal,56.66358,23.20386,-1,CRT Seasonal,Residential,Telecom/Utility,non_domestic,Likely,? [man_made=water_works] 4m
17729,CRT Seasonal,56.52368,23.23111,-1,Commercial,Residential,Education,government,Likely,مدرسة عبري الخاصة [building=school] 36m
17754,CRT Seasonal,56.519392,23.24124,113,Government,Residential,Education,government,Likely,Ibri basic education school for girls 5-9 (OSM)
17889,CRT Fixed Rate,56.488632,23.251959,-1,Government,Agricultural,Education,government,Likely,مركز التدريب المهني [amenity=college] 27m
17890,CRT Fixed Rate,56.488632,23.251959,-1,Government,Agricultural,Education,government,Likely,مركز التدريب المهني [amenity=college] 27m
18347,CRT Seasonal,56.514091,23.23913,116,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Yamama shopping centre (OSM, 2 m)"
18348,CRT Seasonal,56.514091,23.23913,116,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Yamama shopping centre (OSM, 2 m)"
18349,CRT Seasonal,56.514091,23.23913,116,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Yamama shopping centre (OSM, 2 m)"
18350,CRT Seasonal,56.514091,23.23913,116,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Yamama shopping centre (OSM, 2 m)"
18351,CRT Seasonal,56.514091,23.23913,116,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Yamama shopping centre (OSM, 2 m)"
18352,CRT Seasonal,56.514091,23.23913,116,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Yamama shopping centre (OSM, 2 m)"
18353,CRT Seasonal,56.514091,23.23913,116,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Yamama shopping centre (OSM, 2 m)"
18354,CRT Seasonal,56.514091,23.23913,116,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Yamama shopping centre (OSM, 2 m)"
18355,CRT Seasonal,56.514091,23.23913,116,CRT Seasonal,Residential-Commercial,Commercial,non_domestic,Certain,"Al Yamama shopping centre (OSM, 2 m)"
18491,CRT Time of Use,56.513875,23.241166,-1,Government,Residential,Health,government,Likely,? [building=hospital] 56m
18748,CRT Seasonal,56.519085,23.240547,113,CRT Seasonal,Residential,Education,government,Likely,Ibri basic education school for girls 5-9 (OSM)
18987,CRT Seasonal,56.680679,23.29417,-1,Commercial,Residential,Commercial,non_domestic,Likely,? [shop=convenience] 38m
18989,CRT Seasonal,56.680679,23.29417,-1,Commercial,Residential,Commercial,non_domestic,Likely,? [shop=convenience] 38m
19215,CRT Seasonal,56.483494,23.236524,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,Al Orobah: no POI within 80 m
19427,CRT Time of Use,56.493384,23.237839,157,Commercial,Residential,Unresolved,CRT_review,Guessing,"Al Orobah, parking only (OSM)"
19861,CRT Seasonal,56.615681,23.319839,-1,CRT Seasonal,Residential,Commercial,non_domestic,Likely,Bank Muscat [amenity=bank] 25m
20519,CRT Seasonal,56.516351,23.222144,-1,Primary Account Tariff (with National Subsidy),Residential-Commercial,Unresolved,CRT_review,Guessing,AL Murtafa: no POI within 80 m
20644,CRT Seasonal,56.464688,23.160727,35,CRT Seasonal,Industrial,Industrial,industrial,Certain,"Al Mukhtobiyah industrial estate, warehouses, Industrial plots (Google sat)"
20718,CRT Seasonal,56.611502,23.32053,1,Additional Account Tariff,Residential-Commercial,Health,government,Likely,"Horizons Medical, veterinary, Ad Dariz (OSM)"
22050,CRT Seasonal,56.458526,23.217212,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
22214,CRT Time of Use,56.368993,23.283684,14,CRT Time of Use,Agricultural,Government,government,Guessing,"Fenced compound of blue-roofed halls next to Police HQ, Bu Khabi (Google sat)"
22215,CRT Seasonal,56.368993,23.283684,14,CRT Time of Use,Agricultural,Government,government,Guessing,"Fenced compound of blue-roofed halls next to Police HQ, Bu Khabi (Google sat)"
22216,CRT Seasonal,56.368993,23.283684,14,CRT Time of Use,Agricultural,Government,government,Guessing,"Fenced compound of blue-roofed halls next to Police HQ, Bu Khabi (Google sat)"
22217,CRT Time of Use,56.368993,23.283684,14,CRT Time of Use,Agricultural,Government,government,Guessing,"Fenced compound of blue-roofed halls next to Police HQ, Bu Khabi (Google sat)"
22218,CRT Seasonal,56.368993,23.283684,14,CRT Time of Use,Agricultural,Government,government,Guessing,"Fenced compound of blue-roofed halls next to Police HQ, Bu Khabi (Google sat)"
22219,CRT Time of Use,56.368993,23.283684,14,CRT Time of Use,Agricultural,Government,government,Guessing,"Fenced compound of blue-roofed halls next to Police HQ, Bu Khabi (Google sat)"
22220,CRT Seasonal,56.368993,23.283684,14,CRT Time of Use,Agricultural,Government,government,Guessing,"Fenced compound of blue-roofed halls next to Police HQ, Bu Khabi (Google sat)"
22221,CRT Seasonal,56.368993,23.283684,14,CRT Time of Use,Agricultural,Government,government,Guessing,"Fenced compound of blue-roofed halls next to Police HQ, Bu Khabi (Google sat)"
22260,CRT Seasonal,56.383154,23.275625,18,CRT Seasonal,Residential,Government,government,Likely,Ibri Police Headquarters (Nominatim)
22365,CRT Time of Use,56.49229,23.220108,149,Additional Account Tariff,Residential,Commercial,non_domestic,Guessing,"A SSFA, between Al Hashar Automotive and Ramez hypermarket strip (OSM)"
22436,CRT Seasonal,56.517806,23.21539,-1,Additional Account Tariff,Residential,Unresolved,CRT_review,Guessing,Hellat As'sad: no POI within 80 m
22635,CRT Time of Use,56.513383,23.205234,87,Commercial,Residential,Unresolved,CRT_review,Guessing,As Sulayf
22668,CRT Seasonal,56.511162,23.208949,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,Hellat As'sad: no POI within 80 m
22718,CRT Time of Use,56.493697,23.216387,139,Commercial,Residential,Commercial,non_domestic,Certain,"Al Hashar Automotive, Al-huad Pharmacy, Muscat Bank, Oman Oil (OSM)"
22719,CRT Time of Use,56.493697,23.216387,139,Commercial,Residential,Commercial,non_domestic,Certain,"Al Hashar Automotive, Al-huad Pharmacy, Muscat Bank, Oman Oil (OSM)"
22736,CRT Seasonal,56.469071,23.216793,120,Commercial,Residential-Commercial,Commercial,non_domestic,Certain,"Al Fawar and Tayyibat Al Sham restaurants, Bake it Bakery, Al Akhdar (OSM)"
22737,CRT Seasonal,56.469071,23.216793,120,Commercial,Residential-Commercial,Commercial,non_domestic,Certain,"Al Fawar and Tayyibat Al Sham restaurants, Bake it Bakery, Al Akhdar (OSM)"
22738,CRT Seasonal,56.469071,23.216793,120,Commercial,Residential-Commercial,Commercial,non_domestic,Certain,"Al Fawar and Tayyibat Al Sham restaurants, Bake it Bakery, Al Akhdar (OSM)"
22740,CRT Seasonal,56.469071,23.216793,120,Commercial,Residential-Commercial,Commercial,non_domestic,Certain,"Al Fawar and Tayyibat Al Sham restaurants, Bake it Bakery, Al Akhdar (OSM)"
22895,CRT Seasonal,56.50009,23.23742,-1,CRT Seasonal,Residential,Health,government,Likely,Amal pharmacy [amenity=pharmacy;healthcare=pharmacy] 57m
22903,CRT Seasonal,56.377092,23.275099,-1,CRT Seasonal,Residential,Government,government,Guessing,"Ibri Police Headquarters (police, Nominatim)"
22977,CRT Seasonal,56.472937,23.162809,-1,CRT Seasonal,Agricultural,Education,government,Likely,? [amenity=school] 52m
22981,CRT Seasonal,56.495433,23.227712,145,CRT Seasonal,Residential,Telecom/Utility,non_domestic,Likely,"PBX connections building, Ibri Old village (OSM)"
22982,CRT Seasonal,56.753223,23.255133,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Bat (no POI within 80 m)"
22995,CRT Time of Use,56.466715,23.198915,-1,Commercial,Residential,Unresolved,CRT_review,Guessing,Hellat Al Nahadah: no POI within 80 m
23023,CRT Seasonal,56.458481,23.216264,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
23024,CRT Seasonal,56.458481,23.216264,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
23039,CRT Seasonal,56.388551,23.272447,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,سيح المسرات: no POI within 80 m
23085,CRT Seasonal,56.616719,23.318665,-1,CRT Seasonal,Residential,Education,government,Likely,? [amenity=school] 57m
23097,CRT Seasonal,56.608361,23.32007,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Ad Dariz (no POI within 80 m)"
23098,CRT Seasonal,56.552877,23.29049,-1,CRT Time of Use,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot,  (no POI within 80 m)"
23108,CRT Seasonal,56.518929,23.238715,-1,CRT Seasonal,Residential,Education,government,Likely,مدرسة المسرات للتعليم الاساسي 1-4 [building=school] 59m
23232,CRT Seasonal,56.467967,23.164503,-1,CRT Seasonal,Industrial,Industrial,industrial,Likely,"Industrial plot, Al Mukhtobiyah"
23398,CRT Seasonal,56.458439,23.21709,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
23400,CRT Seasonal,56.459445,23.217235,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
23401,CRT Seasonal,56.459873,23.217362,78,CRT Seasonal,Residential,Commercial,non_domestic,Certain,"Ibri Bawadi Mall / Lulu Hypermarket, Chicking (Google sat + OSM)"
23523,CRT Time of Use,56.492982,23.221479,149,Additional Account Tariff,Residential,Commercial,non_domestic,Guessing,"A SSFA, between Al Hashar Automotive and Ramez hypermarket strip (OSM)"
23525,CRT Time of Use,56.504815,23.231795,122,CRT Time of Use,Residential,Unresolved,CRT_review,Guessing,Ibri Old village
23526,CRT Time of Use,56.504815,23.231795,122,CRT Time of Use,Residential,Unresolved,CRT_review,Guessing,Ibri Old village
23527,CRT Time of Use,56.504815,23.231795,122,CRT Time of Use,Residential,Unresolved,CRT_review,Guessing,Ibri Old village
23528,CRT Time of Use,56.504815,23.231795,122,CRT Time of Use,Residential,Unresolved,CRT_review,Guessing,Ibri Old village
23636,CRT Time of Use,56.513384,23.205287,87,Commercial,Residential,Unresolved,CRT_review,Guessing,As Sulayf
23665,CRT Seasonal,56.513385,23.205263,87,Commercial,Residential,Unresolved,CRT_review,Guessing,As Sulayf
23745,CRT Time of Use,56.513571,23.249843,-1,Primary Account Tariff,Residential,Unresolved,CRT_review,Guessing,Al Ghabbi: no POI within 80 m
23750,CRT Seasonal,56.500412,23.237943,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,Al Orobah: no POI within 80 m
23758,CRT Fixed Rate,56.529417,23.231303,-1,CRT Fixed Rate,Residential,Unresolved,CRT_review,Guessing,Hayy Al Aqabah: no POI within 80 m
23869,CRT Seasonal,56.484477,23.258143,-1,CRT Seasonal,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, Rayibah (no POI within 80 m)"
23998,CRT Time of Use,56.466708,23.198971,-1,Commercial,Residential,Unresolved,CRT_review,Guessing,Hellat Al Nahadah: no POI within 80 m
24523,CRT Seasonal,56.576373,23.229119,-1,Commercial,Agricultural,Agricultural,agricultural,Guessing,"Agricultural plot, الجبية (no POI within 80 m)"
24577,CRT Seasonal,56.653115,23.210956,-1,CRT Seasonal,Residential,Religious,government,Likely,? [amenity=place_of_worship;building=mosque] 17m
24609,CRT Seasonal,56.721178,23.1699,-1,Government,Residential,Unresolved,CRT_review,Guessing,no POI within 80 m
24699,CRT Fixed Rate,56.487219,23.208072,-1,Commercial,Residential,Religious,government,Likely,مسجد الشعبية [amenity=place_of_worship;building=yes] 59m
24756,CRT Seasonal,56.487255,23.208178,-1,Primary Account Tariff,Residential,Religious,government,Likely,مسجد الشعبية [amenity=place_of_worship;building=yes] 48m
25123,CRT Seasonal,56.549865,23.283223,69,Commercial,Residential,Commercial,non_domestic,Certain,"Sana Ibri Shopping, Nizwa Islamic Bank, Araqi strip (Google)"
25795,CRT Seasonal,56.481856,23.217068,128,Primary Account Tariff,Residential-Commercial,Commercial,non_domestic,Guessing,"A SSFA, Res-Com plots on Sultan Thuwaini road"
25920,CRT Seasonal,56.466807,23.159573,35,CRT Seasonal,Industrial,Industrial,industrial,Certain,"Al Mukhtobiyah industrial estate, warehouses, Industrial plots (Google sat)"
26046,CRT Seasonal,56.526432,23.213447,-1,CRT Seasonal,Residential,Unresolved,CRT_review,Guessing,no POI within 80 m
26076,CRT Seasonal,56.478243,23.215876,-1,Commercial,Residential,Commercial,non_domestic,Likely,Arabian Center [shop=variety_store] 23m
26077,CRT Seasonal,56.478243,23.215876,-1,Commercial,Residential,Commercial,non_domestic,Likely,Arabian Center [shop=variety_store] 23m
26387,CRT Seasonal,56.495624,23.220789,-1,Primary Account Tariff,Residential,Religious,government,Guessing," (place_of_worship, Nominatim)"
26616,CRT Seasonal,56.484802,23.217651,136,CRT Seasonal,Residential,Education,government,Likely,Indian School Ibri (OSM 40 m)
26748,CRT Time of Use,56.494991,23.223387,-1,Commercial,Residential,Health,government,Likely,Aster Hospital Pharmacy [amenity=pharmacy] 79m
27008,CRT Time of Use,56.555874,23.261862,-1,CRT Time of Use,Industrial,Industrial,industrial,Likely,"Industrial plot, Al Ghabbi"
27119,CRT Seasonal,56.519033,23.240575,113,CRT Seasonal,Residential,Education,government,Likely,Ibri basic education school for girls 5-9 (OSM)
