BID,NODE,CAUSE,CAUSE_PHY,CHAINED,DEPTH_M,MARGIN_M,LIFT_M,GROUND,RUN_M,RUN_N,GFALL_M,PFALL_M,GGRAD_PCT,PGRAD_PCT,RIDGE_M,RIDGE_D,DSFALL_M,DSDIST_M,MAXREACH,QADF_M3D,QPK_LS,PLOTS_UP,SUBNET,SREQ_PCT,SREQM_PCT,DN_REQ,DN_NOW,STRACT_PCT,REDUCIBLE,SLACK_M,SLACKMID_M,RED_FULL,SLACKFUL_M,FULL_M,FULL_N,RED_T11,SLACK_T11,UPSIZE_KM,DN_UP,LINK_PCT,AUTO_PCT,WADI_PCT,HAZ_COV,E_REASON,ARTFALL_M,EMPTY_KM,ALT_N,ALT_DZ_M,LOWFLOW,HEAD,CHAIN_RT,CHAIN_POS,RED_SEQ,SLACKSEQ,RED_SEQT11,BLOCKER,FIX
65,8145,B,B,0,12.04,0.04,10.44,344.43,1628.2,11,-2.3,8.14,-0.141,0.5,2.3,1628.2,0.2,432.4,281.6,286.2,10.01,332,4,0.4978,0.4978,250,200,0.4669,1,2.89,2.83,1,2.89,1628.2,11,1,6.0,1.628,250,0.0,0.0,0.0,39.4,-,0.0,0.276,1,4.29,0,4913,8145,0,1,2.89,1,-,UPSIZE
66,8153,B,B,0,12.35,0.35,10.75,346.99,1329.8,7,-4.1,6.65,-0.3085,0.5,4.1,1329.8,1.04,398.3,604.1,393.4,13.76,442,4,0.4735,0.4735,250,200,0.4669,1,2.9,2.9,1,2.9,1329.8,7,1,4.7,1.33,250,0.0,0.0,0.0,65.5,-,0.0,0.231,0,0.0,0,12470,8153,0,1,2.9,1,-,UPSIZE
67,8327,C,C,0,12.04,0.04,10.44,383.17,1519.1,11,-2.85,7.6,-0.1873,0.5,3.2,1214.0,2.4,1515.7,488.1,125.8,4.5,114,6,0.4973,0.4973,250,200,0.4669,1,0.75,0.75,1,0.75,1519.1,11,1,5.82,1.519,250,0.0,32.4,0.0,45.2,-,0.0,0.899,0,0.0,1,18884,8327,0,1,0.75,1,-,UPSIZE
68,8375,C,C,0,12.59,0.59,10.99,328.38,2891.7,16,2.83,13.82,0.098,0.4779,1.13,279.3,3.06,1642.0,683.0,1567.1,46.97,1287,5,0.4576,0.4576,250,400,0.4669,1,3.69,2.64,1,3.69,2891.7,16,1,7.24,2.675,250,0.0,0.0,0.0,32.8,-,0.0,0.135,0,0.0,0,9992,8375,0,1,3.69,1,-,UPSIZE
69,8409,C,C,0,12.16,0.16,10.56,342.27,1647.7,19,-2.36,8.2,-0.1434,0.4976,3.75,718.2,10.97,1910.2,192.2,60365.2,15.46,50202,-1,0.4879,0.4879,250,250,0.4669,1,3.7,3.7,1,3.7,1647.7,19,1,6.2,1.616,250,0.0,0.0,0.0,42.9,-,0.0,0.06,3,1.66,0,10486,8409,0,1,3.7,1,-,UPSIZE
70,8461,A,A,0,12.51,0.51,10.91,410.22,6767.3,14,22.93,33.84,0.3388,0.5,0.0,0.0,6.61,1574.0,1452.7,213.3,8.13,271,63,0.4924,0.4896,250,200,0.4669,1,5.61,5.55,1,5.61,6767.3,14,1,7.88,6.767,250,1.1,4.2,35.4,91.9,-,0.0,0.215,1,1.53,0,47927,8461,0,1,5.61,1,-,UPSIZE
71,8475,A,A,0,12.01,0.01,10.41,401.8,3380.0,26,6.49,16.9,0.192,0.5,0.15,84.2,6.45,1629.2,494.0,275.7,11.13,337,-1,0.4997,0.4986,250,200,0.4669,1,1.87,1.63,1,1.87,3380.0,26,1,7.83,3.38,250,4.1,48.5,34.5,88.8,-,0.0,2.126,0,0.0,0,19331,8475,0,1,1.87,1,-,UPSIZE
72,8543,C,C,0,13.04,1.04,11.44,367.02,1800.1,14,-3.01,8.43,-0.1675,0.4682,4.25,704.0,10.91,2357.8,277.9,10453.6,245.29,9142,-1,0.4103,0.4103,250,1000,0.4669,1,1.74,1.74,1,1.74,1800.1,14,1,5.44,1.665,250,0.0,0.0,0.0,57.7,-,0.0,0.315,0,0.0,0,14857,8543,0,1,1.74,1,-,UPSIZE
73,8601,B,B,0,12.17,0.17,10.57,378.76,1708.1,6,-2.53,8.05,-0.148,0.471,3.27,902.0,1.23,1675.7,1330.1,843.3,24.15,706,0,0.4609,0.4609,250,315,0.4669,1,1.0,1.0,1,1.0,1708.1,6,1,5.99,1.395,250,0.0,0.0,0.0,21.8,-,0.0,1.395,0,0.0,0,8592,8601,0,1,1.0,1,-,UPSIZE
74,8639,C,C,0,20.81,8.81,19.21,392.29,2640.2,2,-6.01,13.2,-0.2275,0.5,6.01,2640.2,8.89,1530.0,2640.2,1.1,0.11,1,0,0.1664,-3.6053,500,200,0.4669,0,-7.88,-62.84,0,-7.88,2640.2,2,1,1.81,2.64,250,0.0,0.0,14.3,5.3,-,0.0,2.64,1,20.95,1,8641,8639,0,0,-7.88,1,TRACTIVE,NO SEWER / RETHINK
75,8707,B,B,0,13.19,1.19,11.59,342.45,2299.6,16,-4.75,6.84,-0.2066,0.2973,4.98,2208.7,0.02,20.0,499.8,3165.4,84.98,2328,4,0.2456,0.2456,400,600,0.4669,1,0.63,0.63,1,0.63,2299.6,16,1,3.32,1.057,400,0.0,0.0,0.0,62.6,-,0.0,0.091,0,0.0,0,3817,8707,0,1,0.63,1,-,UPSIZE
76,8739,C,C,0,12.77,0.77,11.17,351.79,2626.5,22,-3.13,8.04,-0.1193,0.306,3.2,2470.8,3.55,1523.6,425.4,6647.8,156.48,4685,4,0.2767,0.2767,315,800,0.4669,1,1.31,1.31,1,1.31,2626.5,22,1,4.7,1.253,315,0.0,0.0,0.0,74.0,-,0.0,0.5,1,1.14,0,12096,8739,0,1,1.31,1,-,UPSIZE
77,9163,C,C,0,12.5,0.5,10.9,353.07,681.7,5,-7.49,3.41,-1.0994,0.5,7.49,681.7,8.28,1430.7,365.3,236.0,8.47,238,1,0.4261,0.4261,250,200,0.4669,1,0.43,0.43,1,0.43,681.7,5,1,1.79,0.682,250,0.0,0.0,0.0,27.6,-,0.0,0.365,1,8.06,0,9289,9163,0,1,0.43,1,-,UPSIZE
78,9210,C,C,0,12.52,0.52,10.92,350.37,723.5,7,-7.3,3.62,-1.0093,0.5,7.49,680.7,5.21,1374.8,275.2,72.3,2.01,84,1,0.4281,0.4281,250,200,0.4669,0,-0.18,-0.18,0,-0.18,723.5,7,1,1.95,0.724,250,0.0,0.0,0.0,29.6,-,0.0,0.633,2,4.12,1,9221,9210,0,0,-0.18,1,TRACTIVE,NO SEWER / RETHINK
79,9243,C,C,0,12.05,0.05,10.45,349.08,815.3,9,-6.37,4.08,-0.7815,0.5,6.37,815.3,3.27,1729.4,276.1,44.2,0.02,40,1,0.4942,0.4942,250,200,0.4669,1,0.27,0.27,1,0.27,815.3,9,1,2.82,0.815,250,0.0,29.2,0.0,25.8,-,0.0,0.815,1,2.1,1,22063,9243,0,1,0.27,1,-,UPSIZE
80,10251,B,B,0,12.09,0.09,10.49,342.95,1437.2,16,-3.96,6.53,-0.2752,0.4545,3.96,1437.2,1.45,1289.2,183.6,2674.1,74.47,1398,15,0.4484,0.4484,250,600,0.4669,1,2.7,2.7,1,2.7,1437.2,16,1,4.77,1.257,250,0.0,0.0,0.0,44.2,-,0.0,0.109,2,3.57,0,2363,10251,0,1,2.7,1,-,UPSIZE
81,10399,C,C,0,12.33,0.33,10.73,342.29,1665.8,19,-2.4,8.33,-0.1439,0.5,2.4,1665.8,3.89,1638.8,296.9,211.9,7.8,189,15,0.4804,0.4804,250,200,0.4669,1,3.21,3.19,1,3.21,1665.8,19,1,6.12,1.666,250,0.0,16.9,0.0,39.0,-,0.0,0.143,1,1.46,0,20153,10399,0,1,3.21,1,-,UPSIZE
82,10497,C,C,0,12.46,0.46,10.86,339.4,1325.8,14,-5.28,5.59,-0.3981,0.4213,5.33,1304.6,4.85,1687.0,276.6,1033.8,25.12,948,5,0.3864,0.3496,250,315,0.4669,1,1.36,0.82,1,1.36,1325.8,14,1,3.53,0.746,250,0.0,0.0,0.0,25.5,-,0.0,0.144,3,2.71,0,11383,10497,0,1,1.36,1,-,UPSIZE
83,10959,C,C,0,13.8,1.8,12.2,337.54,1310.1,9,-5.65,6.55,-0.4309,0.5,5.65,1310.1,6.63,1555.6,405.4,171.6,6.47,169,5,0.3629,0.1883,315,200,0.4669,1,0.27,-2.0,1,0.27,1310.1,9,1,3.17,1.31,315,0.0,0.0,0.0,17.0,-,0.0,0.331,1,1.03,0,10965,10959,0,1,0.27,1,-,UPSIZE
84,11127,C,C,0,12.21,0.21,10.61,337.71,1230.6,11,-4.46,6.15,-0.3621,0.5,4.86,1074.0,6.81,1602.6,284.9,218.5,7.98,216,5,0.4831,0.4831,250,200,0.4669,1,2.13,2.13,1,2.13,1230.6,11,1,4.42,1.231,250,0.0,0.0,0.0,12.8,-,0.0,0.178,2,2.78,0,11075,11127,0,1,2.13,1,-,UPSIZE
85,11299,B,B,0,12.64,0.64,11.04,339.22,1326.5,8,-4.41,6.63,-0.3324,0.5,4.41,1326.5,0.0,0.0,435.0,72.1,0.97,45,-1,0.4516,0.4516,250,200,0.4669,0,-0.15,-0.15,0,-0.15,1326.5,8,1,4.4,1.326,250,0.0,6.9,0.0,59.6,-,0.0,1.326,0,0.0,1,20287,11299,0,0,-0.15,1,TRACTIVE,NO SEWER / RETHINK
86,11311,B,B,0,13.58,1.58,11.98,336.15,1426.5,16,-4.85,7.13,-0.3401,0.5,4.85,1426.5,0.21,135.0,241.0,402.2,12.2,410,5,0.389,0.389,250,200,0.4669,1,1.49,1.49,1,1.49,1426.5,16,1,3.88,1.426,250,0.0,0.0,0.0,38.5,-,0.0,0.164,0,0.0,0,11461,11311,0,1,1.49,1,-,UPSIZE
87,11405,B,B,0,12.14,0.14,10.54,332.83,1137.8,6,-4.85,5.69,-0.4264,0.5,4.85,1137.8,0.0,0.0,529.2,19.4,0.74,23,5,0.4876,0.4876,250,200,0.4669,1,0.29,0.29,1,0.29,1137.8,6,1,4.09,1.138,250,0.0,0.0,0.0,62.0,-,0.0,1.138,0,0.0,1,11396,11405,0,1,0.29,1,-,UPSIZE
88,11433,B,B,0,12.31,0.31,10.71,332.28,1229.8,9,-4.56,6.15,-0.3711,0.5,4.56,1229.8,0.0,0.0,400.6,116.1,4.54,115,5,0.4746,0.4746,250,200,0.4669,1,0.85,0.85,1,0.85,1229.8,9,1,4.31,1.23,250,0.0,0.0,0.0,78.0,-,0.0,0.482,0,0.0,1,11485,11433,0,1,0.85,1,-,UPSIZE
89,13047,B,B,0,20.36,8.36,18.76,331.55,3044.0,5,-3.53,15.22,-0.1161,0.5,5.51,1003.2,0.0,0.0,1886.1,133.5,6.11,56,22,0.2255,0.2255,400,200,0.4669,0,-2.12,-2.12,0,-2.12,3044.0,5,1,3.98,3.044,400,0.0,21.9,0.0,53.1,-,0.0,0.718,0,0.0,0,21265,13047,0,0,-2.12,1,TRACTIVE,STATION
90,13043,D,B,1,16.56,4.56,14.96,339.85,1332.7,3,-8.3,6.66,-0.6226,0.5,8.3,1332.7,0.63,80.4,1308.2,166.8,6.29,76,22,0.1577,0.0532,500,200,0.2412,0,-1.21,-2.3,0,-13.63,4376.7,7,0,-5.32,1.333,400,0.0,0.0,0.0,32.8,-,0.0,0.0,0,0.0,0,13047,13047,1,0,-1.21,0,GROUND,STATION
91,13071,B,B,0,12.51,0.51,10.91,319.0,1661.4,4,-2.6,8.31,-0.1568,0.5,5.04,1295.7,0.0,0.0,954.9,40.0,1.26,19,22,0.4692,0.4692,250,200,0.4669,1,0.09,0.09,1,0.09,1661.4,4,1,5.95,1.661,250,0.0,0.0,0.0,42.3,-,0.0,1.352,0,0.0,1,13032,13071,0,1,0.09,1,-,UPSIZE
92,13067,D,B,1,15.77,3.77,14.17,324.92,1650.4,3,-5.91,8.25,-0.3583,0.5,5.91,1650.4,2.28,599.3,1370.8,122.8,2.4,51,22,0.2718,0.2473,315,200,0.4367,0,-1.83,-2.01,0,-12.19,3311.8,6,0,-1.2,1.65,250,0.0,0.0,0.0,43.0,-,0.0,0.0,0,0.0,1,13071,13071,1,0,-12.19,0,GROUND,STATION
93,13059,D,C,1,15.92,3.92,14.32,329.7,1908.0,5,-4.78,9.54,-0.2506,0.5,7.07,1308.7,3.66,1644.1,1108.5,133.5,5.76,55,22,0.2945,0.2945,315,200,0.2646,1,0.61,0.61,0,-21.88,5219.8,10,0,-7.42,1.908,315,0.0,0.0,0.0,25.6,-,0.0,0.0,0,0.0,0,13067,13071,2,1,0.61,1,-,UPSIZE
94,13075,B,B,0,12.17,0.17,10.57,314.48,1504.1,2,-3.05,7.52,-0.2025,0.5,3.99,1403.8,0.45,89.3,1504.1,6.2,0.0,2,22,0.489,0.489,250,200,0.4669,1,0.38,0.38,1,0.38,1504.1,2,1,5.63,1.504,250,0.0,0.0,0.0,21.6,-,0.0,1.504,0,0.0,1,13074,13075,0,1,0.38,1,-,UPSIZE
95,13087,D,B,1,12.71,0.71,11.11,317.85,1546.7,7,-3.37,7.73,-0.2181,0.5,3.83,1457.4,0.0,0.0,797.7,66.6,2.58,17,22,0.4543,0.4512,250,200,0.4669,1,0.61,0.54,0,-9.46,3050.8,8,1,1.09,1.547,250,0.0,0.0,0.0,59.7,-,0.0,0.313,0,0.0,1,13075,13075,1,0,-9.46,1,TRACTIVE,NO SEWER / RETHINK
96,13103,B,B,0,15.48,3.48,13.88,325.16,1669.5,9,-5.54,8.35,-0.3317,0.5,5.82,1648.5,0.43,40.0,524.1,5.6,0.32,3,22,0.2913,0.2913,315,200,0.4669,0,-2.88,-2.88,0,-2.88,1669.5,9,1,3.01,1.669,250,0.0,39.0,0.0,50.0,-,0.0,1.669,0,0.0,1,21278,13103,0,0,-2.88,1,TRACTIVE,NO SEWER / RETHINK
97,13205,B,B,0,12.06,0.06,10.46,326.75,1269.0,5,-4.11,6.35,-0.3242,0.5,4.41,1049.0,0.0,0.0,1040.1,118.6,3.35,49,44,0.4954,0.4954,250,200,0.4669,1,0.58,0.58,1,0.58,1269.0,5,1,4.73,1.269,250,0.0,0.0,0.0,78.0,-,0.0,1.045,0,0.0,1,13301,13205,0,1,0.58,1,-,UPSIZE
98,3203,D,B,1,15.49,3.49,13.89,334.44,1240.5,6,-7.68,6.2,-0.6194,0.5,7.68,1240.5,0.44,1364.0,512.0,330.9,11.65,125,44,0.219,0.219,400,200,0.2746,0,-0.28,-0.28,0,-10.09,2509.5,10,0,-3.88,1.24,400,0.0,0.0,0.0,41.8,-,0.0,0.0,2,2.18,0,13205,13205,1,0,-10.09,0,GROUND,STATION
99,13343,B,B,0,14.97,2.97,13.37,327.18,1134.3,9,-7.7,5.67,-0.6787,0.5,7.7,1134.3,0.0,0.0,335.3,38.6,1.72,53,5,0.2381,0.2381,400,200,0.4669,0,-2.43,-2.43,0,-2.43,1134.3,9,1,1.25,1.134,250,0.0,0.0,0.0,2.2,-,0.0,0.729,0,0.0,1,13559,13343,0,0,-2.43,1,TRACTIVE,NO SEWER / RETHINK
100,13355,B,B,0,14.18,2.18,12.58,313.82,1601.1,8,-4.57,8.01,-0.2855,0.5,4.57,1601.1,0.0,0.0,393.8,3.0,0.19,5,5,0.3641,0.3641,315,200,0.4669,0,-1.59,-1.59,0,-1.59,1601.1,8,1,4.03,1.601,250,0.0,0.0,0.0,50.7,-,0.0,1.601,0,0.0,1,13691,13355,0,0,-1.59,1,TRACTIVE,NO SEWER / RETHINK
101,13353,D,B,1,15.04,3.04,13.44,324.1,632.2,2,-10.28,3.16,-1.6252,0.5,10.28,632.2,0.0,0.0,632.2,3.0,0.27,5,5,0.0197,0.0197,0,200,0.4669,0,-2.78,-2.78,0,-14.82,2233.3,9,0,-6.72,0.632,250,0.0,0.0,0.0,0.0,-,0.0,0.632,0,0.0,1,13355,13355,1,0,-2.78,0,GROUND,STATION
102,13393,B,B,0,12.34,0.34,10.74,329.62,419.3,5,-8.65,2.1,-2.0617,0.5,8.65,419.3,0.0,0.0,148.8,3.3,0.06,5,5,0.4184,0.4184,250,200,0.4669,0,-0.15,-0.15,0,-0.15,419.3,5,1,0.84,0.419,250,0.0,0.0,0.0,33.3,-,0.0,0.419,1,1.4,1,13386,13393,0,0,-0.15,1,TRACTIVE,NO SEWER / RETHINK
103,13531,B,B,0,13.22,1.22,11.62,331.54,512.1,5,-9.06,2.56,-1.7684,0.5,9.41,469.9,0.29,71.6,274.5,10.7,0.46,12,5,0.2624,0.2624,400,200,0.4669,0,-1.0,-1.0,0,-1.0,512.1,5,1,0.36,0.512,250,0.0,54.4,0.0,25.0,-,0.0,0.512,1,2.2,1,19202,13531,0,0,-1.0,1,TRACTIVE,NO SEWER / RETHINK
104,13621,B,B,0,14.46,2.46,12.86,325.09,1433.7,8,-5.69,7.17,-0.3968,0.5,7.03,679.2,0.43,178.7,836.1,28.5,1.16,38,5,0.3286,0.3286,315,200,0.4669,0,-1.93,-1.93,0,-1.93,1433.7,8,1,3.04,1.434,250,0.0,58.6,12.1,52.4,-,0.0,1.045,0,0.0,1,18471,13621,0,0,-1.93,1,TRACTIVE,NO SEWER / RETHINK
105,13333,D,B,1,12.95,0.95,11.35,331.41,1007.6,6,-6.31,5.04,-0.6265,0.5,6.74,828.9,0.08,124.8,417.6,101.9,4.12,118,5,0.4056,0.4056,250,200,0.4669,1,0.14,0.14,0,-12.24,2441.4,13,0,-4.03,1.008,250,0.0,0.0,0.0,0.0,-,0.0,0.0,1,7.09,1,13621,13621,1,1,0.14,0,-,UPSIZE
106,13685,E,E,0,12.17,0.17,10.57,315.27,281.4,3,-9.17,1.41,-3.2586,0.5,9.17,281.4,5.88,566.8,222.0,0.0,0.0,0,5,0.4378,0.4378,250,200,0.4669,0,-0.03,-0.03,0,-0.03,281.4,3,1,0.42,0.281,250,0.0,21.1,100.0,36.4,WADI,0.0,0.281,0,0.0,1,19864,13685,0,0,-0.03,1,TRACTIVE,DELETE CORRIDOR
107,13751,E,E,0,12.46,0.46,10.86,318.0,1288.9,9,-4.42,6.44,-0.3427,0.5,4.42,1288.9,2.39,1184.0,403.9,9.9,0.16,8,1,0.4642,0.4278,250,200,0.4669,1,0.02,-0.42,1,0.02,1288.9,9,1,4.42,1.289,250,0.0,31.3,79.6,100.0,WADI,0.0,1.289,0,0.0,1,18719,13751,0,1,0.02,1,-,DELETE CORRIDOR
108,13797,E,E,0,13.97,1.97,12.37,318.73,3501.2,6,5.13,17.51,0.1466,0.5,1.47,203.8,3.12,1382.4,2266.2,8.4,0.43,6,1,0.4436,0.4436,250,200,0.4669,0,-0.76,-0.76,0,-0.76,3501.2,6,1,9.8,3.501,250,0.0,94.8,93.5,100.0,WADI,0.0,3.501,0,0.0,1,19895,13797,0,0,-0.76,1,TRACTIVE,DELETE CORRIDOR
109,15125,C,C,0,12.01,0.01,10.41,375.97,1507.7,11,-2.87,7.54,-0.1903,0.5,2.87,1507.7,6.21,1503.3,295.9,134.3,5.04,147,10,0.4995,0.4995,250,200,0.4669,1,2.44,2.44,1,2.44,1507.7,11,1,5.8,1.508,250,0.0,0.0,0.0,26.7,-,0.0,0.362,0,0.0,0,15217,15125,0,1,2.44,1,-,UPSIZE
110,15337,B,B,0,12.07,0.07,10.47,376.39,2024.4,10,-0.34,10.12,-0.017,0.5,0.34,2024.4,1.62,449.2,825.7,69.0,1.89,75,9,0.4967,0.4967,250,200,0.4669,1,0.72,0.7,1,0.72,2024.4,10,1,6.47,2.024,250,0.0,41.0,0.0,55.1,-,0.0,1.083,0,0.0,1,19435,15337,0,1,0.72,1,-,UPSIZE
111,15391,C,C,0,12.74,0.74,11.14,377.56,1919.8,15,-1.54,9.6,-0.0805,0.5,2.32,1516.9,4.21,1277.1,705.2,516.9,14.55,464,16,0.4613,0.4613,250,200,0.4669,1,1.08,0.19,1,1.08,1919.8,15,1,6.13,1.92,250,0.0,55.8,0.0,55.7,-,0.0,1.171,0,0.0,0,21797,15391,0,1,1.08,1,-,UPSIZE
112,17337,C,C,0,12.69,0.69,11.09,385.96,1250.2,13,-4.84,6.25,-0.3868,0.5,5.23,1089.0,8.21,1359.7,321.4,356.1,11.48,318,9,0.4451,0.4433,250,200,0.4669,1,1.48,1.29,1,1.48,1250.2,13,1,4.03,1.25,250,0.0,0.0,0.0,33.3,-,0.0,0.241,1,1.9,0,17352,17337,0,1,1.48,1,-,UPSIZE
113,17671,C,C,0,12.25,0.25,10.65,379.98,2859.8,15,-1.96,8.7,-0.0684,0.3041,3.32,932.1,2.73,688.5,613.9,3394.0,87.67,2818,9,0.2953,0.2953,315,600,0.4669,1,2.07,2.07,1,2.07,2859.8,15,1,5.7,1.308,315,0.0,0.0,0.0,72.6,-,0.0,0.575,0,0.0,0,17745,17671,0,1,2.07,1,-,UPSIZE
114,17819,C,C,0,12.35,0.35,10.75,385.37,1000.9,8,-5.75,5.0,-0.5743,0.5,6.44,524.2,6.78,1578.9,325.8,47.7,2.01,62,9,0.4648,0.4648,250,200,0.4669,1,0.18,0.18,1,0.18,1000.9,8,1,3.3,1.001,250,0.0,0.0,0.0,72.5,-,0.0,0.376,0,0.0,1,17869,17819,0,1,0.18,1,-,UPSIZE
115,18195,C,C,0,22.7,10.7,21.1,411.6,1163.9,2,-15.28,5.82,-1.3129,0.5,15.28,1163.9,18.06,1394.1,1163.9,29.2,0.36,28,38,-0.4193,-2.2423,0,200,0.4669,0,-10.26,-29.31,0,-10.26,1163.9,2,0,-6.35,1.164,250,0.0,0.0,0.0,17.5,-,0.0,1.164,1,15.71,1,18197,18195,0,0,-10.26,0,GROUND,STATION
116,18377,C,C,0,12.25,0.25,10.65,407.37,1038.2,9,-5.46,5.19,-0.5259,0.5,5.52,1013.6,8.57,1805.1,229.5,2486.3,14.27,2497,-1,0.4759,0.4759,250,200,0.4669,1,1.76,1.76,1,1.76,1038.2,9,1,3.56,1.038,250,0.0,0.0,0.0,95.0,-,0.0,0.174,0,0.0,0,18407,18377,0,1,1.76,1,-,UPSIZE
117,18495,C,C,0,13.18,1.18,11.58,368.73,1387.1,8,-4.64,6.94,-0.3347,0.5,4.64,1387.1,4.19,1666.2,457.1,1330.9,12.98,1109,0,0.4151,0.4151,250,200,0.4669,1,2.2,2.2,1,2.2,1387.1,8,1,4.12,1.387,250,0.0,100.0,14.7,58.6,-,0.0,0.093,0,0.0,0,20605,18495,0,1,2.2,1,-,UPSIZE
118,18496,E,E,0,12.31,0.31,10.71,414.14,2743.1,9,3.01,13.72,0.1097,0.5,0.12,213.5,8.0,2167.7,756.7,127.4,5.21,145,7,0.4888,0.4888,250,200,0.4669,1,3.81,2.7,1,3.81,2743.1,9,1,6.82,2.743,250,0.0,100.0,62.2,89.5,WADI,0.0,0.491,0,0.0,0,18803,18496,0,1,3.81,1,-,DELETE CORRIDOR
119,18497,C,C,0,18.51,6.51,16.91,408.08,3649.8,12,1.34,18.25,0.0368,0.5,7.31,204.7,13.81,4557.5,958.1,365.9,8.7,391,7,0.3217,0.3217,315,200,0.4669,0,-0.23,-0.23,0,-0.23,3649.8,12,1,7.96,3.65,315,0.0,100.0,19.4,65.9,-,0.0,0.657,0,0.0,0,19362,18497,0,0,-0.23,1,TRACTIVE,STATION
120,18502,C,C,0,13.49,1.49,11.89,387.7,1420.3,2,-4.79,7.1,-0.3374,0.5,4.8,1400.3,3.36,1752.3,1420.3,9.9,0.15,8,116,0.3948,0.3948,250,200,0.4669,0,-0.97,-0.97,0,-0.97,1420.3,2,1,3.94,1.42,250,0.0,100.0,14.0,61.4,-,0.0,1.42,0,0.0,1,18503,18502,0,0,-0.97,1,TRACTIVE,NO SEWER / RETHINK
121,18539,E,E,0,12.73,0.73,11.13,496.21,437.6,3,-8.94,2.19,-2.0429,0.5,8.94,437.6,13.94,1733.3,371.2,62.4,1.43,83,-1,0.3337,0.1724,315,200,0.4669,0,-0.53,-0.89,0,-0.53,437.6,3,1,0.53,0.438,250,0.0,100.0,50.0,21.1,WADI,0.0,0.371,1,1.3,1,18901,18539,0,0,-0.53,1,TRACTIVE,DELETE CORRIDOR
122,18586,B,B,0,12.68,0.68,11.08,421.35,2192.4,33,-0.56,10.52,-0.0254,0.4798,0.56,2192.4,4.73,1518.7,353.6,1000.4,18.31,1041,2,0.449,0.449,250,250,0.4669,1,3.35,3.29,1,3.35,2192.4,33,1,6.26,1.839,250,21.4,100.0,4.5,66.7,-,0.0,0.867,1,2.83,0,39333,18586,0,1,3.35,1,-,UPSIZE
123,18607,C,C,0,15.86,3.86,14.26,417.9,2205.8,20,-3.23,11.03,-0.1464,0.5,4.55,1135.3,2.38,998.7,1135.3,43.2,0.49,122,2,0.3251,0.3251,315,200,0.4669,0,-3.08,-3.08,0,-3.08,2205.8,20,1,4.92,2.206,250,11.1,100.0,0.0,64.0,-,0.0,2.206,0,0.0,1,37031,18607,0,0,-3.08,1,TRACTIVE,NO SEWER / RETHINK
124,18629,C,C,0,12.91,0.91,11.31,424.63,1220.3,18,-5.21,6.1,-0.4272,0.5,5.21,1220.3,12.47,3448.0,453.7,50.0,2.1,173,26,0.425,0.425,250,200,0.4669,0,-0.03,-0.03,0,-0.03,1220.3,18,1,3.67,1.22,250,13.3,100.0,0.0,18.4,-,0.0,0.48,1,2.22,1,38333,18629,0,0,-0.03,1,TRACTIVE,NO SEWER / RETHINK
125,18633,C,C,0,12.97,0.97,11.37,422.84,1708.7,12,-2.82,8.54,-0.1652,0.5,2.92,1649.0,2.04,341.8,636.3,35.1,0.85,114,26,0.4435,0.4435,250,200,0.4669,0,-0.35,-0.35,0,-0.35,1708.7,12,1,5.19,1.709,250,6.1,100.0,0.0,62.5,-,0.0,1.709,0,0.0,1,39381,18633,0,0,-0.35,1,TRACTIVE,NO SEWER / RETHINK
126,18653,C,C,0,12.08,0.08,10.48,423.86,1870.8,30,-1.13,9.35,-0.0604,0.5,1.13,1870.8,2.72,1517.7,327.6,257.9,9.19,225,2,0.4955,0.4955,250,200,0.4669,1,3.07,3.07,1,3.07,1870.8,30,1,6.75,1.871,250,14.7,100.0,0.0,80.8,-,0.0,0.253,0,0.0,0,40693,18653,0,1,3.07,1,-,UPSIZE
127,18692,C,C,0,13.42,1.42,11.82,431.42,1428.4,15,-4.68,7.14,-0.3273,0.5,4.68,1428.4,4.26,1533.6,420.3,262.5,9.31,228,12,0.4007,0.4007,250,200,0.4669,1,0.59,0.59,1,0.59,1428.4,15,1,4.05,1.428,250,6.0,100.0,0.0,39.2,-,0.0,0.457,1,2.2,0,41095,18692,0,1,0.59,1,-,UPSIZE
128,18775,B,B,0,12.45,0.45,10.85,383.02,1506.3,3,-3.32,7.53,-0.2204,0.5,3.79,1405.0,0.24,160.6,790.7,177.6,6.41,174,3,0.47,0.47,250,200,0.4669,1,1.73,1.73,1,1.73,1506.3,3,1,5.35,1.506,250,0.0,100.0,0.0,58.3,-,0.0,0.791,0,0.0,0,18772,18775,0,1,1.73,1,-,UPSIZE
129,18796,E,E,0,14.5,2.5,12.9,423.59,1914.7,30,-3.32,9.57,-0.1736,0.5,3.32,1914.7,7.04,1684.5,641.6,57.4,2.42,56,32,0.3696,0.3696,315,200,0.4669,0,-0.95,-0.95,0,-0.95,1914.7,30,1,5.04,1.915,315,20.2,100.0,42.1,63.3,WADI,0.0,0.883,0,0.0,1,46846,18796,0,0,-0.95,1,TRACTIVE,DELETE CORRIDOR
130,18821,C,C,0,15.78,3.78,14.18,413.67,3769.5,3,4.66,18.85,0.1237,0.5,5.6,820.1,19.4,4898.3,3020.3,0.0,0.02,2,7,0.3996,0.3996,250,200,0.4669,0,-2.48,-2.48,0,-2.48,3769.5,3,1,9.8,3.769,250,0.0,100.0,19.0,31.2,-,0.0,3.769,1,2.76,1,21432,18821,0,0,-2.48,1,TRACTIVE,NO SEWER / RETHINK
