CH_REQ,REACH,STATION_M,X,Y,N_PLOTS,Q_ADF_M3D,MAX_LEG_M,OFFSET_MED_M,WHY,ROW_QUESTION
R00147,E0016406,16.33,461554.716,2580609.623,1,1.08,44.57,47.07,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00148,E0016820,18.75,461931.089,2581061.825,1,1.08,43.74,46.24,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00149,E0016820,38.75,461917.99,2581046.711,1,1.08,43.76,46.26,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00150,E0017277,18.36,451155.177,2567264.242,1,1.08,37.88,40.38,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 40 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00151,E0017286,27.49,451113.686,2567375.68,1,1.08,41.33,43.83,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00152,E0017373,14.62,449840.886,2569264.532,1,1.08,39.59,42.09,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00153,E0017560,5.16,449417.859,2569543.299,1,1.08,44.94,47.44,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00154,E0017654,26.86,449396.934,2569822.078,1,1.643,42.72,45.22,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00155,E0017783,87.89,449774.57,2570141.026,1,1.08,44.24,46.74,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00156,E0017965,8.2,451155.629,2570417.107,1,1.08,39.94,42.44,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00157,E0017965,48.7,451122.064,2570439.773,1,1.08,39.94,42.44,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00158,E0018075,53.02,451846.395,2566694.188,1,1.08,32.45,34.95,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 35 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00159,E0018209,33.77,449134.838,2569062.712,1,0.742,44.18,46.68,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00160,E0018334,7.2,450716.466,2570062.712,2,1.821,41.51,33.26,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 33 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00161,E0018552,16.71,450972.666,2568949.916,1,1.08,44.97,47.47,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00162,E0018593,16.56,449010.028,2568741.416,1,0.742,30.61,33.11,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 33 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00163,E0018647,33.16,451102.866,2569981.24,1,1.08,43.56,46.06,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00164,E0018869,34.6,450777.501,2568744.942,1,1.08,44.93,47.43,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00165,E0018870,34.69,450707.415,2568745.221,1,1.08,43.6,46.1,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00166,E0018888,19.66,451043.455,2569244.511,1,0.742,36.35,38.85,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 39 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00167,E0018888,40.76,451022.355,2569244.658,1,1.08,40.73,43.23,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00168,E0018889,34.15,450972.336,2569210.862,1,1.483,12.82,15.32,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 15 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00169,E0018896,20.98,451066.033,2569094.416,1,1.08,33.63,36.13,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 36 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00170,E0019129,10.92,448881.206,2568513.418,1,0.742,39.14,41.64,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00171,E0019129,37.04,448856.043,2568520.437,1,0.742,35.4,37.9,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 38 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00172,E0019233,43.24,453284.33,2566975.05,1,1.08,44.68,47.18,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00173,E0019236,15.01,453198.774,2566932.19,1,1.08,44.36,46.86,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00174,E0019386,42.84,450494.158,2569795.962,1,1.08,30.43,32.93,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 33 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00175,E0019483,58.79,452500.117,2567126.203,1,1.08,44.8,47.3,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00176,E0019485,27.73,452528.268,2567060.817,1,1.08,44.91,47.41,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00177,E0019530,26.73,450796.129,2569302.539,1,1.08,37.08,39.58,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 40 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00178,E0019538,10.39,451118.453,2569525.402,1,1.08,43.12,45.62,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00179,E0019538,30.38,451104.94,2569540.137,1,1.08,42.73,45.23,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00180,E0019612,6.56,451254.806,2568482.266,1,0.742,41.05,43.55,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00181,E0019660,26.25,454611.708,2567371.444,1,1.08,38.35,40.85,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 41 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00182,E0019670,53.83,452581.636,2567372.76,1,1.08,39.34,41.84,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 42 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00183,E0019777,32.9,448126.898,2569827.767,1,1.08,36.32,38.82,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 39 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00184,E0019853,20.77,453663.637,2567006.102,1,1.08,43.83,46.33,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00185,E0019904,14.85,452856.503,2567691.861,1,1.08,32.32,34.82,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 35 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00186,E0019989,45.99,448337.984,2568161.9,1,1.08,36.6,39.1,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 39 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00187,E0020042,36.98,454784.685,2567508.015,1,1.08,41.77,44.27,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00188,E0020050,25.58,453857.679,2567343.792,1,1.08,42.81,45.31,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00189,E0020051,46.77,453770.467,2567317.168,1,1.08,28.72,31.22,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 31 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00190,E0020067,11.6,453176.143,2567816.116,1,0.742,44.82,47.32,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00191,E0020184,42.49,448093.497,2568954.98,1,1.08,4.61,7.11,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 7 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00192,E0020203,48.35,455203.626,2567720.796,1,3.579,42.78,45.28,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00193,E0020343,18.87,448065.664,2569654.412,1,1.08,43.9,46.4,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00194,E0020410,42.43,455655.156,2568027.313,1,1.08,36.88,39.38,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 39 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00195,E0020500,14.31,453054.881,2568412.283,2,2.16,36.5,28.95,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 29 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00196,E0020542,54.92,454055.642,2567708.501,1,1.08,41.37,43.87,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00197,E0020543,59.92,454009.289,2567637.243,1,1.08,41.44,43.94,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00198,E0020663,43.55,452442.344,2572972.035,2,2.16,43.45,28.52,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 29 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00199,E0020663,74.72,452426.862,2572999.077,1,1.08,41.15,43.65,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00200,E0020723,40.9,453654.586,2567560.46,1,1.08,44.83,47.33,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00201,E0020742,52.57,453752.532,2567464.616,1,1.08,42.65,45.15,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00202,E0020751,16.61,453839.139,2567846.352,1,1.08,35.29,37.79,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 38 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00203,E0020756,39.43,453850.698,2568368.738,1,1.08,7.56,10.06,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 10 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00204,E0020834,15.43,448568.669,2567864.727,1,0.742,43.19,45.69,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00205,E0020844,15.56,452543.93,2573088.282,1,1.08,38.02,40.52,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 41 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00206,E0020895,41.91,454776.426,2568233.798,1,1.08,44.28,46.78,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00207,E0020936,16.96,453912.199,2568298.151,1,1.08,35.34,37.84,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 38 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00208,E0021086,9.9,454990.192,2568332.582,1,1.08,44.08,46.58,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00209,E0021121,38.08,454819.62,2568416.344,1,1.08,12.26,14.76,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 15 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00210,E0021164,36.34,452741.317,2572072.171,1,1.08,44.74,47.24,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00211,E0021174,13.6,453195.134,2568632.732,1,1.08,34.79,37.29,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 37 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00212,E0021176,36.83,453196.605,2568493.55,1,1.08,43.3,45.8,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00213,E0021295,22.75,452507.73,2572099.363,1,1.08,42.85,45.35,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 45 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00214,E0021311,53.85,453269.13,2568773.577,1,1.08,40.41,42.91,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00215,E0021320,22.43,452844.595,2571849.961,1,1.08,40.42,42.92,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 43 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00216,E0021712,43.39,452611.936,2573588.287,1,1.08,44.97,47.47,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00217,E0021723,20.83,456308.649,2568594.352,1,1.08,43.95,46.45,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00218,E0021723,40.83,456327.115,2568602.031,1,1.08,44.13,46.63,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00219,E0021724,15.83,456368.664,2568619.308,1,3.579,44.54,47.04,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00220,E0021724,35.83,456387.13,2568626.986,1,3.579,44.73,47.23,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 47 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00221,E0021735,42.55,455076.749,2568521.249,1,1.08,28.1,30.6,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 31 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00222,E0021891,45.81,450816.159,2574771.252,1,1.08,43.96,46.46,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00223,E0021892,23.92,450786.221,2574747.672,1,1.08,41.67,44.17,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00224,E0021893,25.34,450762.461,2574729.747,1,1.08,43.49,45.99,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 46 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
R00225,E0021893,44.65,450746.999,2574718.17,1,1.08,41.36,43.86,"G203-p18 note under Tab 4: 'If necessary, a manhole will be added'. These plots have no chamber inside the 45 m tertiary run of G203-p22 Tab 6 on ANY carrier within 47.5 m",the connection runs 44 m from the plot boundary to the carrier; G203-p17 sec 3.2 puts it in the public right-of-way - confirm one exists across that land before building
